OrderID;CompanyName;OrderDate;Country;Salesperson;CategoryName;Sale
10270;Ana Trujillo Emparedados y helados;27-07-2016;Finland;Davolio;Seafood;456
10271;Hungry Owl All-Night Grocers;27-07-2016;USA;Hellstern;Dairy Products;48
10272;The Big Cheese;28-07-2016;USA;Hellstern;Confections;388,8
10272;Du monde entier;28-07-2016;USA;Hellstern;Dairy Products;400
10272;Die Wandernde Kuh;28-07-2016;USA;Hellstern;Dairy Products;667,2
10273;QUICK-Stop;31-07-2016;Germany;Leverling;Beverages;475,2
10273;Rattlesnake Canyon Grocery;31-07-2016;Germany;Leverling;Dairy Products;150
10273;Island Trading;31-07-2016;Germany;Leverling;Dairy Products;40
10273;Rattlesnake Canyon Grocery;31-07-2016;Germany;Leverling;Seafood;595,2
10273;Lonesome Pine Restaurant;31-07-2016;Germany;Leverling;Seafood;882
10274;Island Trading;01-08-2016;France;Hellstern;Dairy Products;344
10274;Tortuga Restaurante;01-08-2016;France;Hellstern;Dairy Products;194,6
10275;Wartian Herkku;02-08-2016;Italy;Davolio;Beverages;43,2
10275;Island Trading;02-08-2016;Italy;Davolio;Dairy Products;264
10276;Pericles Comidas clsicas;03-08-2016;Mexico;Callahan;Seafood;372
10276;Kniglich Essen;03-08-2016;Mexico;Callahan;Seafood;48
10277;Save-a-lot Markets;04-08-2016;Germany;Fuller;Confections;472,8
10277;Kniglich Essen;04-08-2016;Germany;Fuller;Produce;728
10278;Blido Comidas preparadas;07-08-2016;Sweden;Callahan;Condiments;248
10278;Folk och f HB;07-08-2016;Sweden;Callahan;Condiments;280,8
10278;Furia Bacalhau e Frutos do Mar;07-08-2016;Sweden;Callahan;Dairy Products;660
10278;Split Rail Beer & Ale;07-08-2016;Sweden;Callahan;Seafood;300
10279;LILA-Supermercado;08-08-2016;Germany;Callahan;Meat/Poultry;468
10280;Bon app';09-08-2016;Sweden;Fuller;Beverages;43,2
10280;Mre Paillarde;09-08-2016;Sweden;Fuller;Beverages;186
10280;Wartian Herkku;09-08-2016;Sweden;Fuller;Meat/Poultry;384
10281;Victuailles en stock;09-08-2016;Spain;Peacock;Beverages;21,6
10281;Hungry Owl All-Night Grocers;09-08-2016;Spain;Peacock;Beverages;57,6
10281;Princesa Isabel Vinhos;09-08-2016;Spain;Peacock;Confections;7,3
10282;Frankenversand;10-08-2016;Spain;Peacock;Grains/Cereals;31,2
10282;Old World Delicatessen;10-08-2016;Spain;Peacock;Seafood;124,2
10283;Mre Paillarde;11-08-2016;Venezuela;Leverling;Condiments;248
10283;Bon app';11-08-2016;Venezuela;Leverling;Confections;131,4
10283;Simons bistro;11-08-2016;Venezuela;Leverling;Dairy Products;952
10283;Frankenversand;11-08-2016;Venezuela;Leverling;Dairy Products;83,4
10284;Lehmanns Marktstand;14-08-2016;Germany;Peacock;Beverages;56
10284;White Clover Markets;14-08-2016;Germany;Peacock;Condiments;325,5
10284;QUICK-Stop;14-08-2016;Germany;Peacock;Confections;526,5
10284;Rattlesnake Canyon Grocery;14-08-2016;Germany;Peacock;Dairy Products;544
10285;Familia Arquibaldo;15-08-2016;Germany;Davolio;Beverages;648
10285;Die Wandernde Kuh;15-08-2016;Germany;Davolio;Meat/Poultry;943,2
10285;Split Rail Beer & Ale;15-08-2016;Germany;Davolio;Seafood;588
10286;La maison d'Asie;16-08-2016;Germany;Callahan;Beverages;1440
10286;Ernst Handel;16-08-2016;Germany;Callahan;Confections;1576
10287;Furia Bacalhau e Frutos do Mar;17-08-2016;Brazil;Callahan;Beverages;224
10287;Piccolo und mehr;17-08-2016;Brazil;Callahan;Confections;556
10287;Pericles Comidas clsicas;17-08-2016;Brazil;Callahan;Seafood;144
10288;Around the Horn;18-08-2016;Italy;Peacock;Confections;30
10288;Die Wandernde Kuh;18-08-2016;Italy;Peacock;Meat/Poultry;59
10289;LILA-Supermercado;21-08-2016;UK;King;Condiments;240
10289;La maison d'Asie;21-08-2016;UK;King;Grains/Cereals;239,4
10290;Seven Seas Imports;22-08-2016;Brazil;Callahan;Condiments;340
10290;Blondesddsl pre et fils;22-08-2016;Brazil;Callahan;Condiments;104
10290;QUICK-Stop;22-08-2016;Brazil;Callahan;Confections;240
10290;Bon app';22-08-2016;Brazil;Callahan;Meat/Poultry;1485
10291;Drachenblut Delikatessen;22-08-2016;Brazil;Hellstern;Condiments;372
10291;Eastern Connection;22-08-2016;Brazil;Hellstern;Produce;84,8
10291;Antonio Moreno Taquera;22-08-2016;Brazil;Hellstern;Seafood;96
10292;Galera del gastrnomo;23-08-2016;Brazil;Davolio;Confections;1296
10293;Vaffeljernet;24-08-2016;Mexico;Davolio;Beverages;36
10293;Ernst Handel;24-08-2016;Mexico;Davolio;Beverages;37,2
10293;Split Rail Beer & Ale;24-08-2016;Mexico;Davolio;Condiments;175,5
10293;Chop-suey Chinese;24-08-2016;Mexico;Davolio;Seafood;600
10294;La maison d'Asie;25-08-2016;USA;Peacock;Beverages;259,2
10294;Queen Cozinha;25-08-2016;USA;Peacock;Beverages;552
10294;Hungry Owl All-Night Grocers;25-08-2016;USA;Peacock;Beverages;37,2
10294;Wolski  Zajazd;25-08-2016;USA;Peacock;Dairy Products;571,2
10294;Hungry Coyote Import Store;25-08-2016;USA;Peacock;Meat/Poultry;468
10295;Mre Paillarde;28-08-2016;France;Fuller;Grains/Cereals;121,6
10296;Seven Seas Imports;29-08-2016;Venezuela;Hellstern;Confections;417
10296;Folk och f HB;29-08-2016;Venezuela;Hellstern;Dairy Products;201,6
10296;Que Delcia;29-08-2016;Venezuela;Hellstern;Dairy Products;432
10297;Hungry Owl All-Night Grocers;30-08-2016;France;Buchanan;Beverages;864
10297;LILA-Supermercado;30-08-2016;France;Buchanan;Dairy Products;556
10298;Ernst Handel;31-08-2016;Ireland;Hellstern;Beverages;608
10298;Around the Horn;31-08-2016;Ireland;Hellstern;Confections;591
10298;Berglunds snabbkp;31-08-2016;Ireland;Hellstern;Dairy Products;1320
10298;Split Rail Beer & Ale;31-08-2016;Ireland;Hellstern;Seafood;608
10299;Familia Arquibaldo;01-09-2016;Brazil;Peacock;Beverages;240
10299;Sant Gourmet;01-09-2016;Brazil;Peacock;Confections;109,5
10300;Seven Seas Imports;04-09-2016;Italy;Fuller;Condiments;408
10300;Bottom-Dollar Markets;04-09-2016;Italy;Fuller;Confections;200
10301;Ernst Handel;04-09-2016;Germany;Callahan;Grains/Cereals;608
10301;Drachenblut Delikatessen;04-09-2016;Germany;Callahan;Seafood;147
10302;Piccolo und mehr;05-09-2016;Belgium;Peacock;Beverages;441,6
10302;Save-a-lot Markets;05-09-2016;Belgium;Peacock;Meat/Poultry;1248
10302;Hungry Coyote Import Store;05-09-2016;Belgium;Peacock;Produce;1019,2
10303;HILARION-Abastos;06-09-2016;Spain;King;Condiments;504
10303;Frankenversand;06-09-2016;Spain;King;Confections;150
10303;Princesa Isabel Vinhos;06-09-2016;Spain;King;Seafood;588
10304;Save-a-lot Markets;07-09-2016;Mexico;Davolio;Confections;480
10304;Vaffeljernet;07-09-2016;Mexico;Davolio;Dairy Products;440
10304;Eastern Connection;07-09-2016;Mexico;Davolio;Dairy Products;34,4
10305;Rattlesnake Canyon Grocery;08-09-2016;USA;Callahan;Beverages;432
10305;Ernst Handel;08-09-2016;USA;Callahan;Meat/Poultry;2475
10305;Ernst Handel;08-09-2016;USA;Callahan;Seafood;1250
10306;Magazzini Alimentari Riuniti;11-09-2016;Spain;Davolio;Meat/Poultry;262
10306;LINO-Delicateses;11-09-2016;Spain;Davolio;Meat/Poultry;29,5
10306;Queen Cozinha;11-09-2016;Spain;Davolio;Seafood;207
10307;Ottilies Kseladen;12-09-2016;USA;Fuller;Confections;394
10307;Folies gourmandes;12-09-2016;USA;Fuller;Confections;30
10308;Ocano Atlntico Ltda.;13-09-2016;Mexico;King;Beverages;60
10308;Bottom-Dollar Markets;13-09-2016;Mexico;King;Dairy Products;28,8
10309;Bottom-Dollar Markets;14-09-2016;Ireland;Leverling;Beverages;736
10309;Wartian Herkku;14-09-2016;Ireland;Leverling;Condiments;352
10309;La maison d'Asie;14-09-2016;Ireland;Leverling;Condiments;600
10309;Familia Arquibaldo;14-09-2016;Ireland;Leverling;Dairy Products;51,6
10309;Hungry Coyote Import Store;14-09-2016;Ireland;Leverling;Grains/Cereals;22,4
10310;Wartian Herkku;15-09-2016;USA;Callahan;Confections;139
10310;Simons bistro;15-09-2016;USA;Callahan;Confections;197
10311;QUICK-Stop;15-09-2016;France;Davolio;Dairy Products;201,6
10311;Richter Supermarkt;15-09-2016;France;Davolio;Grains/Cereals;67,2
10312;Wellington Importadora;18-09-2016;Germany;Fuller;Beverages;883,2
10312;Que Delcia;18-09-2016;Germany;Fuller;Beverages;62
10312;Franchi S.p.A.;18-09-2016;Germany;Fuller;Meat/Poultry;524
10312;Gourmet Lanchonetes;18-09-2016;Germany;Fuller;Produce;145,6
10313;Mre Paillarde;19-09-2016;Germany;Fuller;Seafood;182,4
10314;La maison d'Asie;20-09-2016;USA;Davolio;Confections;985
10314;Galera del gastrnomo;20-09-2016;USA;Davolio;Dairy Products;1024
10314;Piccolo und mehr;20-09-2016;USA;Davolio;Seafood;318
10315;Reggiani Caseifici;21-09-2016;UK;Peacock;Beverages;156,8
10315;Hungry Owl All-Night Grocers;21-09-2016;UK;Peacock;Beverages;360
10316;Ernst Handel;22-09-2016;USA;Davolio;Confections;2758
10316;Bottom-Dollar Markets;22-09-2016;USA;Davolio;Seafood;77
10317;Split Rail Beer & Ale;25-09-2016;USA;Hellstern;Beverages;288
10318;Princesa Isabel Vinhos;26-09-2016;UK;Callahan;Beverages;86,4
10318;Folk och f HB;26-09-2016;UK;Callahan;Seafood;154
10319;Consolidated Holdings;27-09-2016;Mexico;King;Beverages;432
10319;Blondesddsl pre et fils;27-09-2016;Mexico;King;Meat/Poultry;249,6
10319;Wartian Herkku;27-09-2016;Mexico;King;Produce;509,6
10320;Toms Spezialitten;28-09-2016;Finland;Buchanan;Dairy Products;516
10321;Mre Paillarde;28-09-2016;UK;Leverling;Beverages;144
10322;Save-a-lot Markets;29-09-2016;Mexico;King;Grains/Cereals;112
10323;Old World Delicatessen;02-10-2016;Germany;Peacock;Beverages;57,6
10323;Ernst Handel;02-10-2016;Germany;Peacock;Condiments;62
10323;Reggiani Caseifici;02-10-2016;Germany;Peacock;Confections;44,8
10324;Berglunds snabbkp;03-10-2016;USA;Dodsworth;Beverages;1008
10324;Berglunds snabbkp;03-10-2016;USA;Dodsworth;Condiments;2808
10324;Toms Spezialitten;03-10-2016;USA;Dodsworth;Confections;291,9
10324;Ricardo Adocicados;03-10-2016;USA;Dodsworth;Dairy Products;1760
10324;Rancho grande;03-10-2016;USA;Dodsworth;Seafood;288
10325;Blondesddsl pre et fils;04-10-2016;Germany;Davolio;Condiments;120
10325;Victuailles en stock;04-10-2016;Germany;Davolio;Dairy Products;40
10325;QUICK-Stop;04-10-2016;Germany;Davolio;Dairy Products;1112
10325;Save-a-lot Markets;04-10-2016;Germany;Davolio;Produce;167,4
10325;Around the Horn;04-10-2016;Germany;Davolio;Seafood;57,6
10326;La maison d'Asie;05-10-2016;Spain;Peacock;Beverages;310
10326;Wartian Herkku;05-10-2016;Spain;Peacock;Condiments;422,4
10326;Kniglich Essen;05-10-2016;Spain;Peacock;Grains/Cereals;249,6
10327;Kniglich Essen;06-10-2016;Sweden;Fuller;Beverages;380
10327;Suprmes dlices;06-10-2016;Sweden;Fuller;Dairy Products;840
10327;Victuailles en stock;06-10-2016;Sweden;Fuller;Seafood;724,5
10327;Folk och f HB;06-10-2016;Sweden;Fuller;Seafood;318
10328;LILA-Supermercado;09-10-2016;Portugal;Peacock;Condiments;672
10328;Consolidated Holdings;09-10-2016;Portugal;Peacock;Confections;100
10328;Suprmes dlices;09-10-2016;Portugal;Peacock;Dairy Products;396
10329;Furia Bacalhau e Frutos do Mar;10-10-2016;USA;Peacock;Beverages;4216
10329;Vaffeljernet;10-10-2016;USA;Peacock;Confections;73
10329;Comrcio Mineiro;10-10-2016;USA;Peacock;Grains/Cereals;364,8
10329;Magazzini Alimentari Riuniti;10-10-2016;USA;Peacock;Seafood;165,6
10330;Kniglich Essen;11-10-2016;Venezuela;Leverling;Confections;1245
10330;White Clover Markets;11-10-2016;Venezuela;Leverling;Dairy Products;695
10331;Bon app';11-10-2016;France;Dodsworth;Meat/Poultry;88,5
10332;B's Beverages;12-10-2016;Canada;Leverling;Confections;121,6
10332;Seven Seas Imports;12-10-2016;Canada;Leverling;Grains/Cereals;112
10332;Island Trading;12-10-2016;Canada;Leverling;Seafood;2000
10333;Pericles Comidas clsicas;13-10-2016;Finland;Buchanan;Confections;80
10333;Suprmes dlices;13-10-2016;Finland;Buchanan;Dairy Products;688
10333;HILARION-Abastos;13-10-2016;Finland;Buchanan;Produce;186
10334;Princesa Isabel Vinhos;16-10-2016;France;Callahan;Confections;100
10334;Victuailles en stock;16-10-2016;France;Callahan;Grains/Cereals;44,8
10335;Rattlesnake Canyon Grocery;17-10-2016;Ireland;King;Beverages;106,4
10335;Folies gourmandes;17-10-2016;Ireland;King;Dairy Products;250
10335;Ricardo Adocicados;17-10-2016;Ireland;King;Dairy Products;153,6
10335;Lazy K Kountry Store;17-10-2016;Ireland;King;Produce;2035,2
10336;White Clover Markets;18-10-2016;Portugal;King;Condiments;316,8
10337;B's Beverages;19-10-2016;Germany;Peacock;Confections;597,6
10337;LINO-Delicateses;19-10-2016;Germany;Peacock;Dairy Products;695
10337;HILARION-Abastos;19-10-2016;Germany;Peacock;Grains/Cereals;288
10337;Queen Cozinha;19-10-2016;Germany;Peacock;Seafood;304
10337;Frankenversand;19-10-2016;Germany;Peacock;Seafood;582,4
10338;Piccolo und mehr;20-10-2016;USA;Peacock;Meat/Poultry;624
10338;HILARION-Abastos;20-10-2016;USA;Peacock;Seafood;310,5
10339;Furia Bacalhau e Frutos do Mar;23-10-2016;Canada;Fuller;Condiments;176
10339;Bottom-Dollar Markets;23-10-2016;Canada;Fuller;Confections;1103,2
10339;La maison d'Asie;23-10-2016;Canada;Fuller;Meat/Poultry;2184
10340;Comrcio Mineiro;24-10-2016;France;Davolio;Beverages;1472
10340;Laughing Bacchus Wine Cellars;24-10-2016;France;Davolio;Seafood;1000
10340;Tradio Hipermercados;24-10-2016;France;Davolio;Seafood;92,4
10341;Lehmanns Marktstand;24-10-2016;Denmark;King;Dairy Products;16
10341;HILARION-Abastos;24-10-2016;Denmark;King;Dairy Products;396
10342;LILA-Supermercado;25-10-2016;Germany;Peacock;Beverages;364,8
10342;La maison d'Asie;25-10-2016;Germany;Peacock;Dairy Products;560
10342;Blauer See Delikatessen;25-10-2016;Germany;Peacock;Meat/Poultry;768
10342;Pericles Comidas clsicas;25-10-2016;Germany;Peacock;Seafood;608
10343;Hungry Owl All-Night Grocers;26-10-2016;Germany;Peacock;Beverages;216
10343;White Clover Markets;26-10-2016;Germany;Peacock;Confections;40
10343;Mre Paillarde;26-10-2016;Germany;Peacock;Grains/Cereals;1330
10344;Kniglich Essen;27-10-2016;USA;Peacock;Condiments;616
10344;Antonio Moreno Taquera;27-10-2016;USA;Peacock;Condiments;2240
10345;Ottilies Kseladen;30-10-2016;Germany;Fuller;Condiments;2240
10345;Blauer See Delikatessen;30-10-2016;Germany;Fuller;Confections;584
10345;Save-a-lot Markets;30-10-2016;Germany;Fuller;Grains/Cereals;100,8
10346;Bon app';31-10-2016;USA;Leverling;Grains/Cereals;608
10346;Familia Arquibaldo;31-10-2016;USA;Leverling;Meat/Poultry;1123,2
10347;Die Wandernde Kuh;01-11-2016;Brazil;Peacock;Beverages;720
10347;Ernst Handel;01-11-2016;Brazil;Peacock;Beverages;37,2
10347;QUICK-Stop;01-11-2016;Brazil;Peacock;Confections;112
10347;Hungry Owl All-Night Grocers;01-11-2016;Brazil;Peacock;Seafood;58,8
10348;North/South;02-11-2016;Germany;Peacock;Beverages;216
10348;Tortuga Restaurante;02-11-2016;Germany;Peacock;Grains/Cereals;180
10349;Chop-suey Chinese;03-11-2016;USA;King;Meat/Poultry;141,6
10350;Sant Gourmet;06-11-2016;France;Hellstern;Confections;195
10350;Cactus Comidas para llevar;06-11-2016;France;Hellstern;Dairy Products;518,4
10351;Lehmanns Marktstand;06-11-2016;Austria;Davolio;Beverages;4216
10351;Seven Seas Imports;06-11-2016;Austria;Davolio;Condiments;1193,5
10351;Berglunds snabbkp;06-11-2016;Austria;Davolio;Condiments;168
10351;Bon app';06-11-2016;Austria;Davolio;Seafood;100,1
10352;Wartian Herkku;07-11-2016;Portugal;Leverling;Beverages;36
10352;QUICK-Stop;07-11-2016;Portugal;Leverling;Meat/Poultry;118
10353;Great Lakes Food Market;08-11-2016;Austria;King;Beverages;10540
10353;Maison Dewey;08-11-2016;Austria;King;Dairy Products;201,6
10354;Piccolo und mehr;09-11-2016;Mexico;Callahan;Beverages;172,8
10354;Ocano Atlntico Ltda.;09-11-2016;Mexico;Callahan;Meat/Poultry;396
10355;Eastern Connection;10-11-2016;UK;Hellstern;Beverages;90
10355;Folk och f HB;10-11-2016;UK;Hellstern;Grains/Cereals;390
10356;Lehmanns Marktstand;13-11-2016;Germany;Hellstern;Dairy Products;300
10356;Antonio Moreno Taquera;13-11-2016;Germany;Hellstern;Dairy Products;576
10356;Lehmanns Marktstand;13-11-2016;Germany;Hellstern;Meat/Poultry;230,4
10357;Richter Supermarkt;14-11-2016;Venezuela;Davolio;Confections;398,4
10357;B's Beverages;14-11-2016;Venezuela;Davolio;Dairy Products;217,6
10357;B's Beverages;14-11-2016;Venezuela;Davolio;Seafood;744
10358;QUICK-Stop;15-11-2016;France;Buchanan;Beverages;36
10358;Hanari Carnes;15-11-2016;France;Buchanan;Beverages;112
10358;Kniglich Essen;15-11-2016;France;Buchanan;Seafood;304
10359;LILA-Supermercado;16-11-2016;UK;Buchanan;Confections;778,4
10359;Lonesome Pine Restaurant;16-11-2016;UK;Buchanan;Dairy Products;700
10359;Lazy K Kountry Store;16-11-2016;UK;Buchanan;Dairy Products;2176
10360;Victuailles en stock;17-11-2016;France;Peacock;Beverages;2108
10360;Seven Seas Imports;17-11-2016;France;Peacock;Confections;560
10360;Toms Spezialitten;17-11-2016;France;Peacock;Meat/Poultry;3465
10360;QUICK-Stop;17-11-2016;France;Peacock;Meat/Poultry;165,2
10360;Godos Cocina Tpica;17-11-2016;France;Peacock;Produce;1092
10361;Furia Bacalhau e Frutos do Mar;17-11-2016;Germany;Davolio;Beverages;777,6
10361;HILARION-Abastos;17-11-2016;Germany;Davolio;Dairy Products;1496
10362;Wartian Herkku;20-11-2016;France;Leverling;Confections;560
10362;Ottilies Kseladen;20-11-2016;France;Leverling;Meat/Poultry;141,6
10362;Save-a-lot Markets;20-11-2016;France;Leverling;Produce;848
10363;Simons bistro;21-11-2016;Germany;Peacock;Beverages;74,4
10363;Lehmanns Marktstand;21-11-2016;Germany;Peacock;Beverages;172,8
10363;Around the Horn;21-11-2016;Germany;Peacock;Dairy Products;200
10364;Blondesddsl pre et fils;21-11-2016;UK;Davolio;Dairy Products;864
10364;Frankenversand;21-11-2016;UK;Davolio;Dairy Products;86
10365;Folk och f HB;22-11-2016;Mexico;Leverling;Dairy Products;403,2
10366;Reggiani Caseifici;23-11-2016;Spain;Callahan;Condiments;84
10366;Ricardo Adocicados;23-11-2016;Spain;Callahan;Condiments;52
10367;Rattlesnake Canyon Grocery;23-11-2016;Denmark;King;Beverages;403,2
10367;Mre Paillarde;23-11-2016;Denmark;King;Condiments;252
10367;Blondesddsl pre et fils;23-11-2016;Denmark;King;Condiments;72,8
10367;Hungry Owl All-Night Grocers;23-11-2016;Denmark;King;Meat/Poultry;106,2
10368;Galera del gastrnomo;24-11-2016;Austria;Fuller;Confections;40
10368;Rattlesnake Canyon Grocery;24-11-2016;Austria;Fuller;Grains/Cereals;390
10368;Mre Paillarde;24-11-2016;Austria;Fuller;Grains/Cereals;931
10368;Ernst Handel;24-11-2016;Austria;Fuller;Produce;473,2
10369;Berglunds snabbkp;27-11-2016;USA;Callahan;Grains/Cereals;547,2
10369;Antonio Moreno Taquera;27-11-2016;USA;Callahan;Meat/Poultry;1980
10370;Trail's Head Gourmet Provisioners;28-11-2016;Switzerland;Hellstern;Beverages;216
10370;Morgenstern Gesundkost;28-11-2016;Switzerland;Hellstern;Grains/Cereals;798
10370;Tortuga Restaurante;28-11-2016;Switzerland;Hellstern;Produce;160
10371;Trail's Head Gourmet Provisioners;28-11-2016;France;Davolio;Seafood;91,2
10372;B's Beverages;29-11-2016;Brazil;Buchanan;Beverages;8432
10372;Let's Stop N Shop;29-11-2016;Brazil;Buchanan;Confections;777,6
10372;Ottilies Kseladen;29-11-2016;Brazil;Buchanan;Dairy Products;1904
10372;Familia Arquibaldo;29-11-2016;Brazil;Buchanan;Dairy Products;1167,6
10373;Blauer See Delikatessen;30-11-2016;Ireland;Peacock;Dairy Products;860
10373;Wartian Herkku;30-11-2016;Ireland;Peacock;Seafood;848
10374;Blondesddsl pre et fils;30-11-2016;Poland;Davolio;Dairy Products;300
10374;Wellington Importadora;30-11-2016;Poland;Davolio;Seafood;159
10375;Reggiani Caseifici;01-12-2016;USA;Leverling;Meat/Poultry;59
10375;Que Delcia;01-12-2016;USA;Leverling;Produce;279
10376;QUICK-Stop;04-12-2016;Canada;Davolio;Dairy Products;420
10377;Great Lakes Food Market;04-12-2016;UK;Davolio;Beverages;288
10377;Mre Paillarde;04-12-2016;UK;Davolio;Produce;728
10378;Vaffeljernet;05-12-2016;Sweden;Buchanan;Dairy Products;103,2
10379;Lehmanns Marktstand;06-12-2016;Brazil;Fuller;Condiments;561,6
10379;Lehmanns Marktstand;06-12-2016;Brazil;Fuller;Condiments;336
10379;Old World Delicatessen;06-12-2016;Brazil;Fuller;Seafood;61,6
10380;Ernst Handel;07-12-2016;Ireland;Callahan;Beverages;360
10380;White Clover Markets;07-12-2016;Ireland;Callahan;Dairy Products;163,2
10380;Piccolo und mehr;07-12-2016;Ireland;Callahan;Meat/Poultry;524
10380;Rattlesnake Canyon Grocery;07-12-2016;Ireland;Callahan;Seafood;372,6
10381;B's Beverages;07-12-2016;Venezuela;Leverling;Produce;112
10382;Hungry Coyote Import Store;08-12-2016;Austria;Peacock;Condiments;544
10382;HILARION-Abastos;08-12-2016;Austria;Peacock;Dairy Products;120
10382;Vaffeljernet;08-12-2016;Austria;Peacock;Meat/Poultry;1386
10382;Save-a-lot Markets;08-12-2016;Austria;Peacock;Produce;400
10382;Furia Bacalhau e Frutos do Mar;08-12-2016;Austria;Peacock;Seafood;450
10383;Mre Paillarde;11-12-2016;UK;Callahan;Confections;195
10383;Tradio Hipermercados;11-12-2016;UK;Callahan;Grains/Cereals;608
10383;Save-a-lot Markets;11-12-2016;UK;Callahan;Seafood;96
10384;Toms Spezialitten;11-12-2016;Sweden;Leverling;Confections;1814,4
10384;Du monde entier;11-12-2016;Sweden;Leverling;Dairy Products;408
10385;La maison d'Asie;12-12-2016;USA;Davolio;Confections;80
